Date,Transaction Type,Check/Serial #,Description,Amount
10/17/2022,Debit,,SHEETZ 0519 00005199FREDERICK MD US,$4.07
10/18/2022,Debit,,TST* ROLAND PARK BAGEL &410-889-3332 MD US,$14.82
10/18/2022,Debit,,GOOGLE *Google Storageg.co/helppay# CA US,$2.11
10/18/2022,Debit,,SQ *CAFE LOS SUENOSBaltimore MD US,$5.51
10/19/2022,Debit,,Wyze Labs Inc.844-9993226 WA US,$14.99
10/19/2022,Credit,,Wyze Labs Inc.844-9993226 WA US,($1.29)
10/19/2022,Debit,,WHOLEFDS MTW 10064BALTIMORE MD US,$74.17
10/19/2022,Debit,,SP WYZE LABS INC.HTTPSWWW.WYZE WA US,$65.33
10/20/2022,Debit,,MOMS OF HAMPDENBALTIMORE MD US,$48.02
10/23/2022,Debit,,MOMS OF HAMPDENBALTIMORE MD US,$58.65
10/23/2022,Credit,,M-APP TRANSFERUS,($1089.22)
10/24/2022,Debit,,TST* GOLDEN WEST CAFEBALTIMORE MD US,$32.54
10/24/2022,Debit,,GOOGLE *Google Store855-836-3987 CA US,$4.99
10/24/2022,Debit,,TST* RED EMMA'SBALTIMORE MD US,$14.52
10/24/2022,Debit,,TST* RED EMMA'SBALTIMORE MD US,$13.31
10/25/2022,Debit,,WHOLEFDS MTW 10064BALTIMORE MD US,$61.8
10/25/2022,Debit,,SQ *CAFE LOS SUENOSBaltimore MD US,$5.51
10/27/2022,Debit,,WALGREENS #18308BALTIMORE MD US,$28.52
10/27/2022,Debit,,MOMS OF HAMPDENBALTIMORE MD US,$70.17
10/27/2022,Debit,,SQ *CAFE LOS SUENOSBaltimore MD US,$5.51
10/28/2022,Debit,,TST* ROLAND PARK BAGEL &410-889-3332 MD US,$15.14
10/28/2022,Debit,,SIMPLISAFE888-957-4675 MA US,$29.67
10/28/2022,Debit,,WHOLEFDS MTW 10064BALTIMORE MD US,$77.52
10/28/2022,Debit,,FREDERICK DERMATOLOGY ASS301-6626755 MD US,$59.17
10/28/2022,Debit,,Netflix.comnetflix.com CA US,$21.19
